,mpi,mt,num_nodes,num_processes_per_node,num_threads_per_process,sd,time
51,1.0,1.0,1.0,7.0,3.0,0.1904690152827821,17.454012957401574
52,1.0,1.0,1.0,7.0,4.0,0.18592398009947458,17.578627043031155
53,1.0,1.0,1.0,7.0,5.0,0.1272731924785198,17.797139027528466
54,1.0,1.0,1.0,7.0,6.0,0.15394724521165742,18.10903161652386
55,1.0,1.0,1.0,7.0,7.0,0.25235741468369843,18.49531242866069
56,1.0,1.0,1.0,7.0,8.0,0.26550132395040527,18.69818557277322
57,1.0,1.0,1.0,8.0,1.0,0.016634518189550737,17.25186253413558
58,1.0,1.0,1.0,8.0,2.0,0.2726554799643364,17.514727277867497
59,1.0,1.0,1.0,8.0,3.0,0.0543918384303349,17.526143545471133
60,1.0,1.0,1.0,8.0,4.0,0.12221114645542559,17.852420436777173
61,1.0,1.0,1.0,8.0,5.0,0.12281543187102865,18.03375115916133
62,1.0,1.0,1.0,8.0,6.0,0.17813438765412096,18.503951876983045
63,1.0,1.0,1.0,8.0,7.0,0.12182571000079975,18.669611229747535
64,1.0,1.0,1.0,8.0,8.0,0.2947694674115628,19.516367577575146
65,1.0,1.0,2.0,1.0,1.0,0.034236982889555845,62.05278420690447
66,1.0,1.0,2.0,1.0,2.0,0.0041483781642078,31.997005800902844
67,1.0,1.0,2.0,1.0,3.0,0.007226376578226933,21.95583899281919
68,1.0,1.0,2.0,1.0,4.0,0.028410370722017665,16.91276175305247
69,1.0,1.0,2.0,1.0,5.0,0.020597257916059118,13.983616512082516
70,1.0,1.0,2.0,1.0,6.0,0.03564346045149098,12.011507132835685
71,1.0,1.0,2.0,1.0,7.0,0.017621966396757206,10.654839082993567
72,1.0,1.0,2.0,1.0,8.0,0.02696681233837069,9.505179645679892
73,1.0,1.0,2.0,2.0,1.0,0.017064680860433633,31.995142351277174
74,1.0,1.0,2.0,2.0,2.0,0.05017432458564536,17.02146663684398
75,1.0,1.0,2.0,2.0,3.0,0.022198673756987638,11.941806726530194
76,1.0,1.0,2.0,2.0,4.0,0.04481296725137084,9.486240240372718
77,1.0,1.0,2.0,2.0,5.0,0.09926253629444783,9.524155300669372
78,1.0,1.0,2.0,2.0,6.0,0.06386530229824375,9.644728454947472
79,1.0,1.0,2.0,2.0,7.0,0.0829990130797921,9.681836942024528
80,1.0,1.0,2.0,2.0,8.0,0.03450930517775232,9.731852255389095
81,1.0,1.0,2.0,3.0,1.0,0.06831551202055272,22.03588986154646
82,1.0,1.0,2.0,3.0,2.0,0.05816246743627621,11.997146931104362
83,1.0,1.0,2.0,3.0,3.0,0.06179816986308049,9.481214138306678
84,1.0,1.0,2.0,3.0,4.0,0.05367331623137408,9.598123934306205
85,1.0,1.0,2.0,3.0,5.0,0.08275546516148279,9.710722565092146
86,1.0,1.0,2.0,3.0,6.0,0.10926401107903108,9.876940142177045
87,1.0,1.0,2.0,3.0,7.0,0.13893375601755192,9.99001848772168
88,1.0,1.0,2.0,3.0,8.0,0.09656640155206121,10.050968065299093
89,1.0,1.0,2.0,4.0,1.0,0.01634404953563487,17.118381651304663
90,1.0,1.0,2.0,4.0,2.0,0.11479077801722427,9.592814095132052
91,1.0,1.0,2.0,4.0,3.0,0.018971266945162255,9.602993783913552
92,1.0,1.0,2.0,4.0,4.0,0.07779490764531567,9.801665711589157
93,1.0,1.0,2.0,4.0,5.0,0.09864623919152028,9.933321485854686
94,1.0,1.0,2.0,4.0,6.0,0.08865880165203606,10.074902924895287
95,1.0,1.0,2.0,4.0,7.0,0.07814394017368079,10.13207927569747
96,1.0,1.0,2.0,4.0,8.0,0.1633666031471822,10.755817550234497
97,1.0,1.0,2.0,5.0,1.0,0.08843322513000017,14.162065014615655
